log,method,size0,normal0,anom0,size1,normal1,anom1,nu
log1_anom_earlylate_5,oc,792,755,37,708,676,32,0.5
log1_anom_earlylate_5,sv,0,0,0,1500,1431,69
log2_anom_insert_20,oc,623,498,125,877,697,180,0.05
log2_anom_insert_20,oc,623,498,125,877,697,180,0.1
log2_anom_insert_20,oc,623,498,125,877,697,180,0.3
log2_anom_insert_20,oc,1214,964,250,286,231,55,0.5
log2_anom_insert_20,sv,282,229,53,1218,966,252
log2_anom_skip_20,oc,95,75,20,1405,1120,285,0.05
log2_anom_skip_20,oc,155,123,32,1345,1072,273,0.1
log2_anom_skip_20,oc,868,692,176,632,503,129,0.3
log2_anom_skip_20,oc,868,692,176,632,503,129,0.5
log2_anom_skip_20,sv,291,228,63,1209,967,242
log2_anom_rework_30,oc,0,0,0,1500,1038,462,0.05
log2_anom_rework_30,oc,0,0,0,1500,1038,462,0.1
log2_anom_rework_30,oc,0,0,0,1500,1038,462,0.3
log2_anom_rework_30,oc,716,500,216,784,538,246,0.5
log2_anom_rework_30,sv,472,324,148,1028,714,314
log2_anom_skip_10,oc,81,70,11,1419,1272,147,0.05
log2_anom_skip_10,oc,839,758,81,661,584,77,0.1
log2_anom_skip_10,oc,839,758,81,661,584,77,0.3
log2_anom_skip_10,oc,839,758,81,661,584,77,0.5
log2_anom_skip_10,sv,154,134,20,1346,1208,138
log2_anom_all_15,oc,0,0,0,1500,1299,201,0.05
log2_anom_all_15,oc,0,0,0,1500,1299,201,0.1
log2_anom_all_15,oc,0,0,0,1500,1299,201,0.3
log2_anom_all_15,oc,1500,1299,201,0,0,0,0.5
log2_anom_all_15,sv,0,0,0,1500,1299,201
log2_anom_rework_10,oc,692,632,60,808,727,81,0.05
log2_anom_rework_10,oc,692,632,60,808,727,81,0.1
log2_anom_rework_10,oc,692,632,60,808,727,81,0.3
log2_anom_rework_10,oc,755,690,65,745,669,76,0.5
log2_anom_rework_10,sv,149,130,19,1351,1229,122
